USA-urban,18028574,,USA-rural,2800405
Houston,539574,,,
Cincinnati,218301,,,
Fresno,19518,,,
Savannah,18858,,,
Beaumont,23156,,,
Birmingham,94695,,,
Tallahassee,51597,,,
Clarksville,35616,,,
Denver,156565,,,
Lansing,18026,,,
New Orleans,47855,,,
Riverside,103745,,,
Eugene,21908,,,
Boulder,3321,,,
Tulsa,84825,,,
College Station,13597,,,
Amarillo,20494,,,
Akron,82163,,,
Jacksonville,13582,,,
Syracuse,28021,,,
St. Louis,300221,,,
Pueblo,14126,,,
Lincoln,22337,,,
Miami,296740,,,
Baton Rouge,102600,,,
Wilmington,54573,,,
Cedar Rapids,21069,,,
Detroit,367099,,,
Bridgeport,166635,,,
Salt Lake City,61894,,,
Milwaukee,103870,,,
Orlando,128484,,,
Lexington,22103,,,
Santa Rosa,24745,,,
Cleveland,7847,,,
Portland,55440,,,
Lancaster,37537,,,
New Haven,68180,,,
Wichita Falls,7237,,,
Chicago,756040,,,
Knoxville,156602,,,
Tucson,98874,,,
Richmond,87954,,,
Providence,103759,,,
Fort Wayne,19615,,,
Toledo,45768,,,
Fargo,13377,,,
San Angelo,6709,,,
Colorado Springs,27000,,,
Columbus,1659,,,
Nashville,107265,,,
Albuquerque,47701,,,
Boise,54589,,,
Las Cruces,12318,,,
Shreveport,26623,,,
Virginia Beach,92115,,,
Bakersfield,56479,,,
Spokane,104245,,,
Waco,22795,,,
Anchorage,21459,,,
Las Vegas,135489,,,
Topeka,20094,,,
Raleigh,92598,,,
Port St. Lucie,33418,,,
Charleston,24804,,,
Austin,93474,,,
Baltimore,181067,,,
York,53928,,,
Alexandria,12480,,,
Stockton,23361,,,
Charlotte,187248,,,
Oxnard,21313,,,
Provo,19254,,,
Salinas,7037,,,
Durham,26123,,,
San Francisco,93577,,,
Midland,6449,,,
Athens,31977,,,
Tyler,22785,,,
Louisville/Jefferson County,170388,,,
Corpus Christi,39093,,,
Evansville,38628,,,
Cape Coral,83411,,,
Manchester,21752,,,
Odessa,8469,,,
Sioux Falls,12215,,,
Pittsburgh,294222,,,
Peoria,58542,,,
Hartford,92259,,,
Minneapolis,383742,,,
Atlanta,894107,,,
Memphis,88872,,,
Tampa,333371,,,
Rockford,17437,,,
Vallejo,4297,,,
Fort Collins,35642,,,
Modesto,23205,,,
Augusta,49406,,,
Ann Arbor,18185,,,
Des Moines,28832,,,
Oklahoma City,133469,,,
Laredo,12502,,,
Davenport,56385,,,
South Bend,18356,,,
Green Bay,34136,,,
Boston,718125,,,
Greeley,4218,,,
Little Rock,49171,,,
Reno,18730,,,
Visalia,12076,,,
Salem,14450,,,
Seattle,351946,,,
Huntington,53172,,,
Rochester,7270,,,
Dallas,635890,,,
Allentown,87447,,,
San Diego,184947,,,
Gainesville,51502,,,
McAllen,100137,,,
Huntsville,33684,,,
Santa Maria,1771,,,
Palm Bay,37249,,,
San Antonio,128359,,,
Springfield,7037,,,
Greensboro,26623,,,
Indianapolis,178220,,,
Columbia,11767,,,
Philadelphia,500340,,,
Phoenix,255385,,,
Dayton,98301,,,
Sacramento,168332,,,
San Jose,63700,,,
Kansas City,158881,,,
Billings,7614,,,
New York,1076788,,,
Chattanooga,66847,,,
Omaha,51626,,,
Killeen,21420,,,
Mobile,35767,,,
Lakeland,59566,,,
Abilene,7869,,,
Wichita,34484,,,
El Paso,47701,,,
Grand Rapids,62496,,,
Lafayette,4044,,,
Brownsville,20592,,,
Los Angeles,595759,,,
Lubbock,24355,,,
Fayetteville,26984,,,
Macon,24755,,,
Buffalo,106272,,,
Trenton,34311,,,
Bellingham,6915,,,
Sierra Vista,1842,,,
Merced,6832,,,
Auburn,7176,,,
Jefferson City,4092,,,
